RFx Type,RFQ Title,Description,Procurement Type,Delivery Terms,Department,Cost Center,Delivery Location,Item Name,Qty,Payment Terms,vendor
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00182,Urgent requirement for upcoming project deadline,Indigenous,Ex-Works (EXW),Procurement,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,150,CAD (Cash Against Delivery / Documents),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-TRANSPORTATION-CHARGES-00183,Annual maintenance shutdown supplies,Both,Cost & Freight (C&F),DevOps,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Transportation Charges,17,LC (Letter of Credit),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00184,Plant commissioning phase requirement,Indigenous,Delivered at Place (DAP),Maintenance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,200,Milestone-Based Payment,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-EMERGENCY-RISK-00185,Pilot project trial order,Indigenous,"Cost, Insurance & Freight (CIF)",Maintenance,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",EMERGENCY RISK SURCHARGE,6,DA (Documents against Acceptance) / DP (Documents against Payment),witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00186,Sample procurement for quality assessment,Indigenous,Free on Road (FOR) Destination,Customer Support,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,11,LC (Letter of Credit),pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00187,Annual maintenance shutdown supplies,Import,Ex-Works (EXW),Quality Assurance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,4,25% Advance 75% on Delivery,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-DOCUMENTATION-CHARGES-00188,Plant commissioning phase requirement,Indigenous,Cost & Freight (C&F),Legal,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Documentation Charges,3,RTGS / NEFT on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-OTHERS-EXPENSES-00189,Vendor diversification initiative order,Import,"Cost, Insurance & Freight (CIF)",Stores,Logistics,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),8,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00190,Strategic sourcing for cost optimization,Indigenous,Ex-Works (EXW),Maintenance,Maintenance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR FURNACE FLOOR,200,Milestone-Based Payment,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-TERMINAL-HANDLING-00191,Critical spare for plant operations,Indigenous,Free on Board (FOB),Sales,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,250,Milestone-Based Payment,witoh97990@bitmah.com
Request for Quotation,RFQ-QUO-2026-OTHERS-EXPENSES-00192,Strategic sourcing for cost optimization,Indigenous,Free on Road (FOR) Destination,Marketing,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),13,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-PRECARRIAGE-CHARGE-00193,Long-term supply agreement requirement,Both,Cost & Freight (C&F),DevOps,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",PRECARRIAGE CHARGE,2,Milestone-Based Payment,kewec91896@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONCRETE-BREAKING-00194,Strategic sourcing for cost optimization,Import,Free on Board (FOB),Engineering,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",CONCRETE BREAKING FOR PUMP HOUSE,250,RTGS / NEFT on Delivery,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-CONTAINER-HANDLING-00195,Critical spare for plant operations,Indigenous,Freight on Truck (FOT),Marketing,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Container Handling Services,7,30% Advance 70% on Delivery,pidecad161@acanok.com
Request for Quotation,RFQ-QUO-2026-TERMINAL-HANDLING-00196,Annual maintenance shutdown supplies,Both,Door Delivery,Finance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",TERMINAL HANDLING CH,1000,DA (Documents against Acceptance) / DP (Documents against Payment),kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00197,Plant commissioning phase requirement,Import,Delivered Duty Paid (DDP),Procurement,Production,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,9,Milestone-Based Payment,witoh97990@bitmah.com
Request for Proposal,RFQ-QUO-2026-EMERGENCY-RISK-00198,Emergency stock replenishment,Both,Free on Board (FOB),Quality Assurance,Procurement,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",EMERGENCY RISK SURCHARGE,14,50% Advance 50% on Delivery,pidecad161@acanok.com
Request for Proposal,RFQ-QUO-2026-OTHERS-EXPENSES-00199,Strategic sourcing for cost optimization,Both,Delivered at Place (DAP),Product Management,Stores,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Others Expenses (Export),18,Milestone-Based Payment,kewec91896@bitmah.com
Request for Quotation,RFQ-QUO-2026-SHIPPING-CLEARING-00200,Annual maintenance shutdown supplies,Both,"Cost, Insurance & Freight (CIF)",Sales,Finance,"TATA STEEL LIMITED-Registered, Mumbai, Maharashtra, 400063",Shipping & Clearing Charges,11,25% Advance 75% on Delivery,witoh97990@bitmah.com
